T,1st,2nd,3rd,4th
33.187,548.3626502,398.8092001,332.4074683,287.1426241
33.645,555.9303753,404.3130002,336.9948857,291.1053602
34.556,570.9832085,415.2605153,346.1196395,298.987571
37.118,613.3162036,446.0481481,371.7811314,321.1546666
39.497,652.6254134,474.6366643,395.6096597,341.7383983
40.182,663.9439543,482.8683304,402.4707534,347.6651979
40.662,671.8751946,488.6365051,407.278527,351.8182837
41.119,679.4263963,494.1282882,411.8559282,355.7723675
41.514,685.9531461,498.8750154,415.8123253,359.1900111
41.918,692.6286067,503.7298958,419.8588681,362.685525
42.274,698.5109433,508.0079587,423.4246336,365.7657303
42.608,704.0297646,512.021647,426.7700428,368.6555859
42.836,707.7971038,514.76153,429.0537353,370.6283016
42.932,709.3833519,515.915165,430.01529,371.4589188
43.027,710.9530765,517.0567829,430.9668286,372.2808837
43.05,711.3331151,517.3331746,431.197201,372.4798857
43.05,711.3331151,517.3331746,431.197201,372.4798857
43.057,711.448779,517.4172938,431.2673144,372.5404516
43.081,711.845341,517.7057026,431.5077031,372.7481058
43.102,712.1923328,517.9580602,431.7180432,372.9298034
43.117,712.4401841,518.1383157,431.8682861,373.0595873
43.111,712.3410436,518.0662135,431.8081889,373.0076737
42.934,709.4163987,515.939199,430.0353224,371.4762233
42.719,705.863864,513.3555374,427.8818404,369.615987
42.423,700.9729324,509.7984963,424.9170467,367.0549174
42.108,695.768056,506.0131316,421.7619452,364.3294548
41.538,686.3497081,499.1634241,416.052714,359.3976653
41.047,678.2367102,493.263062,411.1347622,355.1494046
40.542,669.8923845,487.1944614,406.0765836,350.7800122
40.031,661.4489182,481.0537587,400.9583079,346.3587063
39.571,653.8481463,475.5259246,396.3508581,342.3786657
39.249,648.5276059,471.6564407,393.1256433,339.5926373
39.021,644.7602668,468.9165576,390.8419508,337.6199215
39.066,645.5038205,469.457324,391.2926796,338.0092733
39.56,653.6663887,475.3937372,396.24068,342.2834908
40.563,670.2393763,487.4468191,406.2869237,350.9617097
42.139,696.2802819,506.3856596,422.0724473,364.5976749
43.466,718.2068567,522.3322594,435.3639382,376.0792268
45.316,748.7751787,544.5637663,453.8938992,392.0859118
47.019,776.9145584,565.0287697,470.9514796,406.8207142
48.517,801.6666375,583.0302818,485.9557399,419.7818029
49.721,821.560832,597.4987869,498.0152389,430.1991266
50.43,833.2759348,606.0188617,505.1167212,436.3335804
51.028,843.1569384,613.2050461,511.1064059,441.5076332
51.181,845.6850212,615.0436518,512.6388838,442.8314293
51.1,844.3466244,614.0702723,511.827572,442.1305961
50.841,840.0670593,610.9578613,509.2333774,439.8896602
50.682,837.439836,609.0471534,507.6408024,438.5139505
50.51,834.5978082,606.9802242,505.9180168,437.0257614
50.498,834.3995272,606.8360198,505.7978225,436.9219342
50.602,836.1179626,608.085791,506.8395068,437.8217695
50.958,842.0002992,612.3638539,510.4052723,440.9019748
51.212,846.1972472,615.4161798,512.9493858,443.0996494
51.49,850.7907572,618.7569143,515.7338881,445.5049783
51.823,856.2930551,622.7585856,519.0692811,448.3861816
52.154,861.7623063,626.7362227,522.3846417,451.2500804
52.499,867.4628852,630.8820984,525.840229,454.2351108
52.706,870.8832326,633.3696237,527.9135814,456.0261291
52.89,873.9235414,635.5807574,529.7565613,457.6181453
52.933,874.6340483,636.0974897,530.1872577,457.9901926
52.914,874.3201034,635.8691661,529.99695,457.8257996
52.804,872.5025275,634.5472927,528.8951685,456.8740508
52.609,869.2804611,632.2039717,526.9420104,455.1868597
52.332,864.7034745,628.8752542,524.1675244,452.790183
51.911,857.7471159,623.8160843,519.9507062,449.1475807
51.466,850.3941952,618.4685056,515.4934994,445.297324
51.039,843.338696,613.3372334,511.2165841,441.6028081
50.674,837.3076487,608.9510172,507.5606728,438.4447324
50.345,831.8714444,604.9974141,504.2653446,435.5981381
50.095,827.74059,601.9931564,501.7612958,433.4350726
49.867,823.9732509,599.2532734,499.4776034,431.4623568
49.64,820.2224352,596.5254074,497.2039271,429.4982933
49.44,816.9177517,594.1220012,495.200688,427.7678409
49.179,812.6051398,590.9855562,492.5864611,425.5096005
48.876,807.5985443,587.3443959,489.551554,422.887965
48.603,803.0876514,584.0637465,486.8171327,420.5258975
48.261,797.4366427,579.953922,483.3915939,417.5668238
47.903,791.5212593,575.6518249,479.8057961,414.469314
47.51,785.0275563,570.9291318,475.8694314,411.0689749
47.074,777.8233463,565.6897064,471.5023703,407.2965886
46.608,770.1234339,560.0897701,466.8348234,403.2646345
46.131,762.2417638,554.3576464,462.0570983,399.1375054
45.659,754.4427109,548.6856079,457.3294542,395.0536377
45.179,746.5114705,542.9174331,452.5216805,390.9005518
44.621,737.2914037,536.21193,446.9326436,386.0725896
43.975,726.6172761,528.4489281,440.4621816,380.4832282
43.278,715.1004542,520.0730576,433.4808935,374.4526015
42.577,703.5175387,511.6491191,426.4595407,368.3873657
41.789,690.4970859,502.1796988,418.566779,361.5693831
40.94,676.4687046,491.9772397,410.0630293,354.2236126
