TIRF Data File: Project 1464; Run 32
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none	SAE
42.760	39.92	569.10	0.034	0.024	21.716	18.610	85.66	1945.96	24.26	-892.82	6.60	22.50	-2.18	-0.03	31.77	77.17	87.83	87.12	27.55	0.167	0.188
42.780	39.94	569.22	0.032	0.028	21.704	18.617	85.71	1951.42	22.29	-912.66	13.86	12.64	-2.14	-0.02	31.78	77.16	88.02	87.35	27.53	0.166	0.188
42.800	39.97	569.06	0.035	0.024	21.720	18.633	85.61	1895.39	15.30	-907.93	22.56	12.69	-2.09	-0.02	31.77	77.17	88.10	87.38	27.49	0.166	0.187
42.820	40.01	568.82	0.032	0.021	21.723	18.661	85.61	1854.04	13.01	-889.67	21.60	20.88	-2.08	-0.01	31.77	77.17	88.01	87.22	27.49	0.164	0.185
42.840	40.05	568.71	0.035	0.024	21.720	18.684	85.61	1868.05	16.33	-877.35	13.58	27.31	-2.13	-0.02	31.76	77.19	87.93	87.16	27.55	0.162	0.184
42.860	40.10	568.94	0.034	0.021	21.725	18.698	85.76	1928.17	22.83	-887.25	7.03	24.41	-2.17	-0.03	31.76	77.19	87.99	87.13	27.56	0.162	0.183
42.880	40.13	569.02	0.034	0.017	21.723	18.713	85.66	1958.53	22.47	-910.65	10.99	14.80	-2.15	-0.02	31.75	77.19	88.11	87.18	27.55	0.161	0.182
42.900	40.13	568.98	0.031	0.021	21.723	18.714	85.66	1912.94	16.81	-911.94	20.85	11.76	-2.10	-0.02	31.74	77.13	88.15	87.22	27.57	0.161	0.182
42.920	40.14	568.75	0.031	0.021	21.723	18.724	85.61	1859.91	13.76	-896.30	23.07	18.36	-2.08	-0.02	31.75	77.00	88.11	87.26	27.55	0.160	0.181
42.940	40.16	568.67	0.035	0.024	21.724	18.735	85.56	1854.67	16.31	-877.44	15.70	25.67	-2.11	-0.02	31.77	76.86	88.04	87.22	27.56	0.159	0.180
42.960	40.16	568.82	0.032	0.022	21.722	18.730	85.71	1909.39	21.34	-883.22	8.74	26.44	-2.16	-0.02	31.76	76.70	88.08	87.36	27.56	0.160	0.181
