TIRF Data File: Project 1464; Run 53
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none
0.000	-0.03	0.64	0.007	0.036	24.713	-12.751	84.54	7.47	-27.64	-1087.19	20.70	4.20	-0.01	0.03	26.29	21.96	21.88	21.66	21.61	-2.938
0.020	-0.04	0.64	0.009	0.036	24.707	-14.685	84.70	7.89	-26.24	-1085.50	20.92	4.21	-0.01	0.02	26.29	21.95	21.91	21.65	21.60	-2.682
0.040	-0.04	0.72	0.006	0.034	24.713	-14.810	84.75	5.81	-26.22	-1084.80	20.77	3.74	-0.01	0.02	26.28	21.96	21.91	21.65	21.62	-2.669
0.060	-0.04	0.72	0.009	0.034	24.715	-13.087	84.64	8.84	-25.52	-1084.06	20.71	4.51	-0.01	0.02	26.28	21.96	21.92	21.66	21.60	-2.888
0.080	-0.04	0.60	0.009	0.034	24.713	-15.639	84.75	7.46	-25.52	-1085.62	20.87	4.20	-0.01	0.02	26.28	21.95	21.91	21.65	21.63	-2.580
0.100	-0.04	0.72	0.006	0.037	24.708	-13.087	84.64	5.13	-26.97	-1084.79	20.64	3.59	0.00	0.02	26.30	21.93	21.86	21.65	21.61	-2.888
0.120	-0.05	0.72	0.012	0.036	24.709	-18.257	84.70	9.39	-26.93	-1086.21	20.97	4.81	-0.01	0.02	26.29	21.95	21.95	21.66	21.63	-2.353
0.140	-0.05	0.64	0.013	0.034	24.711	-20.485	84.75	6.35	-25.52	-1085.38	21.20	4.04	-0.01	0.02	26.28	21.98	21.91	21.65	21.62	-2.206
0.160	-0.04	0.72	0.006	0.034	24.711	-14.810	84.64	6.51	-26.21	-1085.25	21.26	3.90	-0.01	0.02	26.30	21.93	21.86	21.66	21.63	-2.668
0.180	-0.04	0.64	0.009	0.037	24.710	-14.685	84.70	8.96	-25.56	-1081.17	20.04	4.80	-0.01	0.02	26.28	21.95	21.91	21.63	21.63	-2.683
0.200	-0.05	0.72	0.010	0.039	24.708	-18.257	84.64	5.54	-26.99	-1081.92	19.98	3.59	-0.01	0.02	26.28	21.95	21.91	21.65	21.62	-2.353
0.220	-0.04	0.72	0.010	0.036	24.711	-14.810	84.70	7.75	-26.92	-1084.52	20.97	4.36	-0.01	0.02	26.29	21.95	21.89	21.65	21.64	-2.668
0.240	-0.04	0.72	0.009	0.034	24.711	-13.087	84.54	9.66	-26.20	-1085.24	21.26	4.96	-0.01	0.02	26.28	21.93	21.89	21.68	21.62	-2.888
0.260	-0.04	0.60	0.009	0.034	24.711	-15.639	84.64	7.19	-25.52	-1086.23	21.20	4.05	-0.01	0.02	26.29	21.93	21.91	21.65	21.64	-2.580
0.280	-0.03	0.64	0.010	0.034	24.711	-12.751	84.64	7.57	-25.54	-1085.87	20.54	4.48	-0.01	0.02	26.28	21.96	21.92	21.66	21.63	-2.938
0.300	-0.04	0.64	0.013	0.036	24.709	-16.618	84.64	7.73	-25.55	-1087.30	20.86	4.34	-0.01	0.02	26.29	21.93	21.92	21.66	21.64	-2.487
0.320	-0.04	0.72	0.012	0.039	24.710	-14.810	84.64	5.65	-27.00	-1088.16	20.61	3.87	-0.01	0.02	26.29	21.96	21.91	21.63	21.64	-2.668
0.340	-0.04	0.64	0.006	0.036	24.713	-14.685	84.64	8.26	-26.95	-1089.00	20.64	4.63	-0.01	0.02	26.28	21.96	21.89	21.65	21.63	-2.683
0.360	-0.04	0.60	0.013	0.037	24.708	-17.698	84.75	7.18	-25.59	-1087.68	20.35	4.04	-0.01	0.02	26.29	21.96	21.91	21.66	21.65	-2.396
0.380	-0.04	0.72	0.007	0.036	24.709	-14.810	84.64	6.60	-24.87	-1086.72	20.64	4.17	-0.01	0.02	26.28	21.98	21.91	21.66	21.63	-2.668
0.400	-0.04	0.72	0.006	0.034	24.709	-13.087	84.80	7.31	-26.93	-1088.14	20.65	4.34	-0.01	0.02	26.29	21.95	21.91	21.65	21.65	-2.888
0.420	-0.04	0.72	0.010	0.036	24.711	-13.087	84.70	6.50	-26.95	-1088.76	20.97	3.89	-0.01	0.02	26.29	21.96	21.91	21.66	21.63	-2.888
0.440	-0.04	0.64	0.009	0.036	24.709	-14.685	84.64	5.93	-27.65	-1088.03	20.69	4.02	-0.01	0.03	26.30	21.96	21.91	21.68	21.65	-2.683
0.460	-0.04	0.64	0.009	0.036	24.707	-14.685	84.75	8.42	-26.25	-1085.03	20.43	4.50	-0.01	0.02	26.28	21.95	21.91	21.66	21.64	-2.682
0.480	-0.04	0.72	0.006	0.036	24.709	-13.087	84.80	5.65	-25.56	-1086.35	21.03	3.87	-0.01	0.02	26.28	21.95	21.91	21.63	21.64	-2.888
0.500	-0.04	0.60	0.009	0.039	24.710	-15.639	84.70	7.32	-26.29	-1086.33	20.89	4.34	-0.01	0.02	26.28	21.93	21.91	21.66	21.65	-2.580
0.520	-0.03	0.64	0.012	0.034	24.709	-12.751	84.64	6.35	-26.23	-1087.29	20.76	4.03	-0.01	0.02	26.28	21.96	21.89	21.65	21.64	-2.938
0.540	-0.04	0.72	0.009	0.036	24.711	-14.810	84.59	5.23	-25.56	-1086.47	20.86	3.87	0.00	0.02	26.26	21.93	21.89	21.66	21.65	-2.668
0.560	-0.03	0.72	0.010	0.036	24.711	-11.364	84.59	9.24	-26.23	-1085.48	20.91	4.95	-0.01	0.02	26.23	21.93	21.89	21.65	21.64	-3.174
0.580	-0.04	0.64	0.013	0.039	24.708	-14.685	84.70	6.62	-26.99	-1084.91	20.46	4.18	-0.01	0.02	26.19	21.96	21.89	21.66	21.66	-2.683
0.600	-0.04	0.72	0.013	0.037	24.710	-13.087	84.64	6.24	-26.26	-1088.26	21.72	3.75	-0.01	0.02	26.16	21.96	21.89	21.63	21.64	-2.888
0.620	-0.05	0.72	0.012	0.036	24.713	-18.257	84.64	8.54	-26.94	-1084.90	20.48	4.79	-0.01	0.02	26.14	21.95	21.92	21.65	21.65	-2.354
0.640	-0.04	0.64	0.007	0.036	24.711	-14.685	84.59	5.82	-26.24	-1085.50	20.92	3.74	-0.01	0.02	26.12	21.93	21.92	21.68	21.65	-2.683
0.660	-0.04	0.60	0.007	0.034	24.709	-15.639	84.70	6.78	-26.21	-1086.08	21.25	4.05	-0.01	0.02	26.12	21.93	21.88	21.65	21.65	-2.580
