TIRF Data File: Project 1464; Run 31
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none
0.000	-0.04	0.72	0.000	0.011	21.480	-13.087	83.43	-0.17	-7.88	-1085.69	13.83	1.54	0.00	0.01	28.26	27.69	27.16	26.65	26.77	-2.641
0.020	-0.04	0.72	0.003	0.012	21.477	-14.810	83.53	-1.29	-6.52	-1085.68	13.99	1.37	0.00	0.01	28.26	27.68	27.15	26.71	26.76	-2.450
0.040	-0.04	0.64	0.001	0.012	21.475	-14.685	83.58	-0.33	-7.91	-1085.09	13.48	1.68	0.00	0.01	28.26	27.69	27.16	26.67	26.77	-2.462
0.060	-0.03	0.68	0.000	0.009	21.480	-12.018	83.48	-0.41	-9.93	-1088.17	14.73	1.41	0.00	0.01	28.26	27.68	27.18	26.70	26.76	-2.787
0.080	-0.03	0.60	0.001	0.012	21.481	-13.580	83.48	-2.50	-9.29	-1087.01	14.14	0.92	0.00	0.01	28.25	27.69	27.18	26.70	26.78	-2.582
0.100	-0.05	0.72	0.003	0.014	21.478	-18.257	83.48	-0.59	-7.92	-1087.00	14.30	1.54	0.00	0.01	28.26	27.69	27.16	26.67	26.76	-2.176
0.120	-0.04	0.72	0.001	0.015	21.478	-13.087	83.48	-0.43	-8.64	-1087.12	14.04	1.40	0.00	0.01	28.25	27.71	27.18	26.67	26.77	-2.641
0.140	-0.04	0.64	0.004	0.014	21.478	-16.618	83.58	-1.41	-8.62	-1085.60	13.89	1.08	0.00	0.01	28.25	27.68	27.16	26.70	26.77	-2.292
0.160	-0.04	0.60	0.000	0.011	21.482	-17.698	83.53	0.38	-10.65	-1084.73	13.64	1.85	0.00	0.01	28.26	27.69	27.20	26.68	26.76	-2.214
0.180	-0.04	0.64	-0.001	0.011	21.478	-16.618	83.53	-0.44	-9.27	-1084.14	13.48	1.40	0.00	0.01	28.26	27.71	27.16	26.70	26.78	-2.292
0.200	-0.03	0.60	-0.001	0.009	21.478	-13.580	83.53	-2.93	-7.86	-1084.13	13.66	0.90	0.00	0.01	28.26	27.68	27.16	26.71	26.76	-2.582
0.220	-0.05	0.72	0.000	0.014	21.476	-18.257	83.43	-0.05	-8.62	-1085.56	13.88	1.83	0.00	0.01	28.26	27.68	27.20	26.71	26.78	-2.176
0.240	-0.04	0.56	0.003	0.012	21.475	-16.726	83.53	-0.33	-7.90	-1082.81	13.14	1.68	0.00	0.01	28.27	27.69	27.20	26.68	26.76	-2.284
0.260	-0.04	0.64	0.003	0.014	21.478	-14.685	83.53	-2.93	-9.33	-1085.82	13.47	0.90	0.00	0.01	28.25	27.68	27.16	26.71	26.78	-2.463
0.280	-0.05	0.60	-0.001	0.011	21.480	-21.816	83.48	0.11	-9.27	-1084.37	13.15	1.70	0.00	0.01	28.26	27.68	27.16	26.71	26.76	-1.985
0.300	-0.05	0.72	0.001	0.012	21.477	-18.257	83.48	-2.51	-8.60	-1086.29	14.06	0.92	0.00	0.01	28.26	27.69	27.18	26.71	26.77	-2.176
0.320	-0.04	0.72	-0.001	0.014	21.476	-13.087	83.48	-0.59	-8.62	-1085.69	13.72	1.53	0.00	0.01	28.26	27.69	27.18	26.71	26.77	-2.641
0.340	-0.03	0.60	0.000	0.012	21.477	-13.580	83.63	0.10	-7.90	-1085.56	13.98	1.70	0.00	0.01	28.26	27.69	27.15	26.68	26.76	-2.581
