TIRF Data File: Project 1464; Run 58
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none	SAE
115.200	39.52	503.94	-0.004	0.021	24.216	20.806	79.99	2752.88	-66.13	-1127.18	14.47	31.94	-2.44	0.06	34.39	68.65	74.31	69.89	22.66	0.164	0.196
115.220	39.52	503.47	-0.010	0.021	24.220	20.825	79.89	2806.36	-58.09	-1151.78	19.01	20.29	-2.44	0.05	34.40	68.64	74.39	69.97	22.65	0.163	0.195
115.240	39.54	502.96	-0.007	0.021	24.220	20.856	80.04	2809.20	-60.47	-1140.75	29.96	12.98	-2.46	0.05	34.41	68.65	74.42	69.99	22.61	0.161	0.193
115.260	39.58	502.45	-0.007	0.021	24.220	20.899	79.94	2771.07	-70.94	-1107.82	32.77	20.38	-2.50	0.06	34.40	68.62	74.49	70.06	22.64	0.159	0.190
115.280	39.62	501.98	-0.013	0.021	24.218	20.941	79.94	2733.17	-80.35	-1088.86	25.10	29.20	-2.51	0.07	34.41	68.64	74.54	70.06	22.64	0.156	0.188
115.300	39.66	501.71	-0.007	0.021	24.222	20.974	79.99	2724.78	-79.26	-1101.73	19.34	34.60	-2.47	0.07	34.41	68.62	74.54	70.11	22.66	0.155	0.186
115.320	39.74	501.52	-0.010	0.021	24.220	21.022	80.04	2756.82	-67.48	-1130.26	15.72	32.31	-2.44	0.06	34.43	68.62	74.60	70.17	22.71	0.152	0.184
115.340	39.82	501.36	-0.009	0.021	24.220	21.071	80.04	2794.73	-60.95	-1153.36	18.73	21.04	-2.42	0.05	34.43	68.64	74.65	70.25	22.65	0.149	0.181
115.360	39.90	501.24	-0.010	0.018	24.219	21.120	80.04	2792.73	-63.33	-1142.45	29.53	14.20	-2.44	0.06	34.45	68.70	74.70	70.37	22.65	0.147	0.178
115.380	39.98	500.93	-0.012	0.018	24.219	21.175	80.04	2759.92	-77.92	-1111.44	32.53	20.72	-2.48	0.07	34.45	68.71	74.76	70.53	22.66	0.144	0.175
115.400	40.05	500.89	-0.010	0.017	24.222	21.216	80.04	2735.14	-91.39	-1093.79	24.76	29.83	-2.50	0.08	34.45	68.70	74.77	70.71	22.64	0.142	0.173
115.420	40.11	500.73	-0.013	0.018	24.221	21.255	80.09	2729.97	-87.52	-1102.46	18.28	33.87	-2.48	0.08	34.47	68.74	74.84	70.82	22.69	0.140	0.171
115.440	40.15	500.62	-0.012	0.021	24.218	21.280	80.19	2767.23	-75.05	-1130.75	15.08	31.56	-2.45	0.07	34.46	68.73	74.90	70.92	22.65	0.138	0.169
115.460	40.21	500.42	-0.006	0.024	24.217	21.318	80.14	2819.31	-65.67	-1151.90	18.84	19.59	-2.45	0.06	34.51	68.79	74.93	70.96	22.67	0.136	0.167
115.480	40.26	500.03	-0.004	0.021	24.214	21.362	79.94	2826.59	-69.37	-1141.44	29.93	13.38	-2.48	0.06	34.51	68.74	74.96	71.02	22.64	0.134	0.165
115.500	40.31	499.56	-0.007	0.022	24.217	21.406	80.14	2793.81	-83.32	-1110.19	32.20	21.03	-2.52	0.08	34.53	68.77	74.96	71.09	22.65	0.131	0.162
