rpm,peak_motor_torque,torque
0,240,95
100,240,96.785
200,240,98.57
300,240,100.355
400,240,102.14
500,240,103.925
600,240,105.71
700,240,107.495
800,240,109.28
900,240,111.065
1000,240,112.85
1100,240,114.635
1200,240,116.42
1300,240,118.205
1400,240,120
1500,240,120
1600,240,120
1700,240,120
1800,240,120
1900,240,120
2000,240,120
2100,240,120
2200,240,120
2300,240,120
2400,240,120
2500,240,120
2600,239,120
2700,238,120
2800,237,120
2900,236,120
3000,235,120
3100,234,120
3200,233,120
3300,232,120
3400,231,120
3500,230,120
3600,229,120
3700,228,120
3800,227,120
3900,226,120
4000,225,120
4100,224,119.2
4200,223,118.4
4300,222,117.6
4400,221,116.8
4500,220,116
4600,219,115.2
4700,218,114.4
4800,217,113.6
4900,216,112.8
5000,215,111
